IP	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
163.172.136.101	tor.ohundred.com	12876	Online S.a.s.	Scaleway	Scaleway			
163.172.209.46	watchme.tor-exit.network	12876	Online S.a.s.	Online SAS Nl	Online SAS Nl			
171.25.193.20	tor-exit0-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
171.25.193.25	tor-exit5-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
171.25.193.132	tor-exit6-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
171.25.193.77	tor-exit1-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
171.25.193.78	tor-exit4-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
173.254.216.66	exit-01a.noisetor.net	8100	QuadraNet, Inc	QuadraNet	QuadraNet			
171.25.193.235	tor-exit3-readme.dfri.se	198093	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter	Foreningen for digitala fri- och rattigheter			
176.10.104.243	tor2e1.digitale-gesellschaft.ch	51395	SOFTplus Entwicklungen GmbH	Datasource AG	Datasource AG			
176.10.107.180	torexit.schokomil.ch	51395	SOFTplus Entwicklungen GmbH	Datasource AG	Datasource AG			
176.58.100.98	tor-exit-node.gertrude.stuken.me	63949	Linode, LLC	Linode	Linode			
176.31.7.241	parachute-tor-exit.org	16276	OVH SAS	OVH SAS	OVH SAS		FR	France
178.17.170.124	torrelayslamarre.exitnode	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network			
178.17.170.164	torsrv1.snydernet.net	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network			
178.17.174.10	torsrvq.snydernet.net	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network			
178.17.174.99	6.tor.exit.babylon.network	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network	Chisinau	MD	Republic of Moldova
178.32.53.94	tor-exit.scharmerlaw.com	16276	OVH SAS	OVH	OVH			
178.175.131.194	torsrv6.snydernet.net	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network			
178.239.167.15	tor-relay.m5i.uk	64474	M5i Limited	Bandwidth Technologies Ltd	Bandwidth Technologies Ltd		GB	United Kingdom
185.11.180.67	exit.norway.tor-node.net	16234	Stayon AS	Stayon AS	Stayon AS			
185.17.184.228	tor-exit-node.xzyqvk.co.uk	60781	LeaseWeb Netherlands B.V.	LeaseWeb Netherlands B.V.	LeaseWeb Netherlands B.V.		NL	Netherlands
185.34.33.2	tor.laquadrature.net	39389	Cursys Sarl	Octopuce s.a.r.l.	Octopuce s.a.r.l.			
185.38.14.171	tor-exit.r2.apx.pub	58073	YISP B.V.	YISP B.V.	YISP B.V.			
185.38.14.215	tor-exit.r1.apx.pub	58073	YISP B.V.	YISP B.V.	YISP B.V.			
178.217.187.39	tor-exit.xshells.net	51290	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka	Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka			
185.36.100.145	tor-proxy-readme.cloudexit.eu	62403	Disk Group Ltd.	Disk Group Ltd.	Disk Group Ltd.			
185.69.168.112	tor.exit.node.dreamhack.se	59835	Dreamhack AB	Dreamhack AB	Dreamhack AB		SE	Sweden
185.129.62.62	tor01.zencurity.dk	57860	Zencurity ApS	Zencurity ApS	Zencurity ApS			
185.129.62.63	tor02.zencurity.dk	57860	Zencurity ApS	Zencurity ApS	Zencurity ApS			
188.126.81.155	tor-exit.se.partyvan.eu	42708	Portlane AB	Portlane AB	Portlane AB			
193.90.12.86	tor-1.multisec.no	2116	Broadnet AS	Broadnet AS	Broadnet AS			
193.90.12.87	tor-2.multisec.no	2116	Broadnet AS	Broadnet AS	Broadnet AS			
193.90.12.88	tor-3.multisec.no	2116	Broadnet AS	Broadnet AS	Broadnet AS			
193.15.16.4	tor1.modio.se	1257	TELE2	Tele2 SWIPnet	Tele2 SWIPnet			
193.111.136.162	10.tor.exit.babylon.network	24961	myLoc managed IT AG	myLoc managed IT AG	myLoc managed IT AG			
193.90.12.89	tor-4.multisec.no	2116	Broadnet AS	Broadnet AS	Broadnet AS			
193.90.12.90	tor-5.multisec.no	2116	Broadnet AS	Broadnet AS	Broadnet AS			
195.154.8.111	torrelay9.tomhek.net	12876	Online S.a.s.	Iliad-Entreprises	Iliad-Entreprises		FR	France
195.154.90.122	argenla.tor-exit.network	12876	Online S.a.s.	Iliad-Entreprises	Iliad-Entreprises			
198.58.107.53	tor.tyler.zone	63949	Linode, LLC	Linode	Linode			
198.50.200.135	tor-exit.sonsofodin.space	16276	OVH SAS	OVH Hosting	OVH Hosting			
198.96.155.3	exit.tor.uwaterloo.ca	12093	University of Waterloo	University of Waterloo	University of Waterloo			
193.171.202.150	tor2r.ins.tor.net.eu.org	1853	ACONET	Johannes Kepler University	Johannes Kepler University			
199.127.226.150	tor.tocici.com	14613	TOCICI LLC	Tocici LLC	Tocici LLC			
199.87.154.251	torlesnet2.relay.coldhak.com	18451	LES.NET	LES.NET	LES.NET			
199.87.154.255	tor.les.net	18451	LES.NET	TOR Exit Gateway	TOR Exit Gateway			
204.11.50.131	tor-exit.boingboing.net	30176	Priority Colo Inc	Priority Colo	Priority Colo			
204.85.191.30	tor00.telenet.unc.edu	36850	University of North Carolina at Chapel Hill	University of North Carolina at Chapel Hill	University of North Carolina at Chapel Hill			
209.133.66.214	exit-tor.tykva.info	6461	Zayo Bandwidth Inc	Zayo Bandwidth	Zayo Bandwidth			
209.249.180.198	tor-exit.kartofelzik.info	6461	Zayo Bandwidth Inc	Zayo Bandwidth	Zayo Bandwidth			
212.47.246.21	tor4thepeople1.torexitnode.net	12876	Online S.a.s.	Scaleway	Scaleway			
212.47.227.72	tor-exit.hermes.bendellar.com	12876	Online S.a.s.	Scaleway	Scaleway		FR	France
212.117.180.130	5.tor.exit.babylon.network	5577	root SA	root SA	root SA			
216.218.134.12	tor-exit.altsci.com	6939	Hurricane Electric, Inc.	Hurricane Electric	Hurricane Electric			
216.239.90.19	tor-gateway.vif.com	10996	Concorde inc.	VIF Internet	VIF Internet			
217.13.197.5	tor-exit-node.tk	15657	Speedbone Internet & Connectivity GmbH	Speedbone Internet & Connectivity GmbH	Speedbone Internet & Connectivity GmbH			
