IP	attacks	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
185.129.62.63	18176	tor02.zencurity.dk	57860	Zencurity ApS	Zencurity ApS	Zencurity ApS			
31.168.172.147	17930	31-168-172-147.telavivwifi.com	8551	Bezeq International	Bezeq International	Bezeq International	Tel Aviv	IL	Israel
207.244.97.183	17587	exit.manassas.tor-node.net	30633	Leaseweb USA, Inc.	Leaseweb USA	Leaseweb USA	Manassas	US	United States
141.138.141.208	16964	tor-exit-141-138-141-208.colo.transip.net	20857	Transip B.V.	Transip B.V.	Transip B.V.			
104.237.152.195	16768	drew010-relay01.drew-phillips.com	63949	Linode, LLC	Linode	Linode			
162.247.73.204	16597	billsf.tor-exit.calyxinstitute.org	4224	The Calyx Institute	The Calyx Institute	The Calyx Institute			
179.43.143.162	15987	new-tactics.com	51852	Private Layer INC	Private Layer INC	Private Layer INC			
41.206.188.206	15916		6453	TATA COMMUNICATIONS (AMERICA) INC	Tata Communications (america)	Tata Communications (america)			
120.29.217.46	15809		6453	TATA COMMUNICATIONS (AMERICA) INC	Tata Communications (america)	Tata Communications (america)			
217.12.201.109	15029	s24.friendhosting.net	50673	Serverius Holding B.V.	ITL Company	ITL Company	Dronten	NL	Netherlands
94.242.239.162	14955	ip-static-94-242-239-162.server.lu	5577	root SA	root SA	root SA		LU	Luxembourg
45.55.178.34	14637		393406	Digital Ocean, Inc.	Digital Ocean	Digital Ocean	New York	US	United States
46.166.188.208	14507		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.		NL	Netherlands
178.17.163.82	14127	178-17-163-82.static.host	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network	Chisinau	MD	Republic of Moldova
148.251.255.92	13756	tor-exit.gcpd.biz	24940	Hetzner Online GmbH	HETZNER	HETZNER			
217.13.197.5	13704	tor-exit-node.tk	15657	Speedbone Internet & Connectivity GmbH	Speedbone Internet & Connectivity GmbH	Speedbone Internet & Connectivity GmbH			
199.68.196.125	13340		1426	Lightwave Networking, LLC	Lightwave Networking, LLC	Lightwave Networking, LLC			
46.166.138.129	13224		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.		NL	Netherlands
106.187.37.101	13081	tor.xz.je	2516	KDDI CORPORATION	Linode	Linode			
212.47.195.52	12672		3327	Linx Telecommunications B.V.	Linx Telecommunications B.V.	Linx Telecommunications B.V.	Tallinn	EE	Estonia
46.105.100.149	12612	secreto21.idfnv.net	16276	OVH SAS	OVH SAS	OVH SAS			
178.162.193.233	12548		28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH		DE	Germany
